name,param,mr_score,E_HF,E_FCI,noon_0,noon_1,n_qubits
H2_R0.70,0.7,0.8966291482484162,-1.11734903499028,-1.136189454065923,1.173179875415303,0.06980902366371933,4
H2_R0.91,0.91,0.8419134965062792,-1.089792603961167,-1.11897446374882,1.259682092177337,0.10159558868361629,4
H2_R1.12,1.12,0.820060260593652,-1.0309183850566546,-1.0750997514652245,1.3364613993520031,0.15652165994565514,4
H2_R1.33,1.33,0.859393546477421,-0.9644158954174789,-1.0295964455378634,1.3839360943297754,0.24332964080719643,4
H2_R1.54,1.54,0.9747961137314853,-0.9000893965562471,-0.9925025287328961,1.3876835808297843,0.3624796945612696,4
H2_R1.75,1.75,1.1493942620120905,-0.842509356388973,-0.9667731407921705,1.349385934735243,0.4987801967473335,4
H2_R1.95,1.95,1.3418196894430865,-0.7933409866327272,-0.9510330869516332,1.2868378658270871,0.6286575552701736,4
H2_R2.16,2.16,1.5152000037930042,-0.7526593036761811,-0.9422585895180038,1.2204417160687804,0.7356417198617846,4
H2_R2.37,2.37,1.6536938883876213,-0.719697276693124,-0.9376571397079378,1.1623086739313855,0.8160025623190068,4
H2_R2.58,2.58,1.7575254064055137,-0.6933446723596243,-0.9353314216673979,1.1160963641885768,0.8736217705940905,4
H2_R2.79,2.79,1.8329547787468705,-0.6724685575232496,-0.9341845556628534,1.0811743333761106,0.9141291121229811,4
H2_R3.00,3.0,1.8867110435959156,-0.656048251145591,-0.9336318445584986,1.0556100002443503,0.9423210438402658,4
