iter,E_plus,E_minus,E_curr,best_E
0,-0.9463714330785035,-0.9414125267891074,-0.9446894765670624,-0.9446894765670624
1,-0.9449671627411607,-0.942189511961344,-0.9446894765960897,-0.9446894765960897
2,-0.9424012224913042,-0.9430046104201762,-0.9447474732036053,-0.9447474732036053
3,-0.9437240751219493,-0.9431791086227217,-0.9447141250962291,-0.9447474732036053
4,-0.943857486777097,-0.9408613645375746,-0.9443060190076712,-0.9447474732036053
5,-0.9462197847668998,-0.9451217502522243,-0.9444131097144215,-0.9447474732036053
6,-0.9440776401492599,-0.9439528863648486,-0.9444131097144215,-0.9447474732036053
7,-0.9415700960831639,-0.9449486569872904,-0.9445537224603158,-0.9447474732036053
8,-0.9456344010455835,-0.9442036718885278,-0.9445537224603158,-0.9447474732036053
9,-0.9432218015228452,-0.9470804926198588,-0.9444130807161176,-0.9447474732036053
10,-0.9441224649203277,-0.9425606693691498,-0.9443431835412883,-0.9447474732036053
11,-0.9439420888731413,-0.9435974760905843,-0.9443431835412883,-0.9447474732036053
12,-0.9414953202291001,-0.9486298025361538,-0.9437813758637466,-0.9447474732036053
13,-0.944004680663401,-0.9452306208361194,-0.9437233502288999,-0.9447474732036053
14,-0.9391195520199702,-0.9449286194962571,-0.9438279413652981,-0.9447474732036053
15,-0.9437811079026761,-0.9416414533666558,-0.9435983195942241,-0.9447474732036053
16,-0.9435044797996338,-0.9434769921654801,-0.9435983195942241,-0.9447474732036053
17,-0.9450983390560632,-0.9425071909120509,-0.9435378826627492,-0.9447474732036053
18,-0.9418980073721339,-0.9453370725901928,-0.9436539049341388,-0.9447474732036053
19,-0.9435252829379185,-0.9429562971952811,-0.9436539049341388,-0.9447474732036053
20,-0.9425810608691809,-0.9445603772110388,-0.9438136283096255,-0.9447474732036053
21,-0.9434811053859693,-0.9444190930027692,-0.9435959083266232,-0.9447474732036053
22,-0.9424101205624912,-0.94567538851787,-0.9437064215516057,-0.9447474732036053
