iter,E_plus,E_minus,E_curr,best_E
0,-1.0356186213905552,-1.0495722353652595,-1.0475196161146962,-1.0475196161146962
1,-1.0423992527385293,-1.0495442691959365,-1.047493539841225,-1.0475196161146962
2,-1.046396656589415,-1.0447313546756374,-1.047512974084031,-1.0475196161146962
3,-1.0443650833019358,-1.0486521385664584,-1.0476088453774022,-1.0476088453774022
4,-1.0456607093329302,-1.0479806502324003,-1.0476717771456827,-1.0476717771456827
5,-1.0481087163888327,-1.0435680983905489,-1.0473250528696199,-1.0476717771456827
6,-1.041787104285231,-1.0552711328520763,-1.0469382679948682,-1.0476717771456827
7,-1.048812917275009,-1.040163369780019,-1.0469548841279783,-1.0476717771456827
8,-1.0463313119338682,-1.0409353247339377,-1.046858316632332,-1.0476717771456827
9,-1.04658422684434,-1.048733148908306,-1.046936169187946,-1.0476717771456827
10,-1.044602415874394,-1.0519573963609652,-1.047350369490813,-1.0476717771456827
11,-1.049739720305756,-1.0442334321232558,-1.047171324142221,-1.0476717771456827
12,-1.050194654738544,-1.044140500756032,-1.0481294820810296,-1.0481294820810296
13,-1.0506270878763222,-1.0441247633084418,-1.0485702813840212,-1.0485702813840212
14,-1.0465838033964265,-1.0477601538824761,-1.0485255312400057,-1.0485702813840212
15,-1.045154450326058,-1.0477569190539597,-1.0486279530329314,-1.0486279530329314
16,-1.0464924977803114,-1.0508804039736852,-1.0485320530363926,-1.0486279530329314
17,-1.0458494830150464,-1.0471660089376733,-1.0484873028923771,-1.0486279530329314
18,-1.0460904163094153,-1.0472470211834173,-1.0485003718636852,-1.0486279530329314
19,-1.0528417589364436,-1.0434833874305152,-1.048499700253356,-1.0486279530329314
20,-1.0493585950132736,-1.0478011066163238,-1.048499700253356,-1.0486279530329314
21,-1.0482553801604924,-1.0441707052976181,-1.0485892005413866,-1.0486279530329314
22,-1.0487872863856242,-1.047013163972475,-1.048499722617246,-1.0486279530329314
23,-1.0470550186689127,-1.0449852948078637,-1.0484744037513725,-1.0486279530329314
24,-1.0530067476323384,-1.0437003243187393,-1.0482071808696167,-1.0486279530329314
25,-1.0462995837360336,-1.0485073101887281,-1.0482966811576475,-1.0486279530329314
26,-1.0453090603863577,-1.0507068420162267,-1.0481187130012293,-1.0486279530329314
27,-1.0427113930257397,-1.051302058660104,-1.0482279408989732,-1.0486279530329314
28,-1.0501781236063878,-1.0470654217513478,-1.0482726686790984,-1.0486279530329314
29,-1.049110233496535,-1.0467464700462068,-1.0482279408989732,-1.0486279530329314
30,-1.0453216299768107,-1.049684044735342,-1.0482279408989732,-1.0486279530329314
31,-1.0455138163650204,-1.0514542388004546,-1.0481570883921791,-1.0486279530329314
32,-1.0466976075246264,-1.0517384872850313,-1.0477194966420842,-1.0486279530329314
33,-1.0475753382647028,-1.0461548491243053,-1.0476747241341786,-1.0486279530329314
34,-1.0471783577298208,-1.0473300006368942,-1.0476747241341786,-1.0486279530329314
35,-1.0452729816988853,-1.0516987917603844,-1.0476429337541382,-1.0486279530329314
36,-1.0510145686217442,-1.0459441598220585,-1.047585246187663,-1.0486279530329314
