name,param,mr_score,E_HF,E_FCI,E_CASSCF,n_qubits,noon_0,noon_1,noon_2,noon_3
H4_sq_d-0.30_a1.00,-0.3,1.2105508971504442,-2.1080220445555553,-2.1514346257935517,-2.151434625793551,8,1.8212568731954566,0.8635425626224293,0.08810509047486208,0.0801601172486093
H4_sq_d-0.22_a1.00,-0.22,1.0876966860464314,-2.058050801339011,-2.1111656292169814,-2.1111656292169796,8,1.980721673286697,0.8617217633408714,0.10490702298623475,0.10178957300602222
H4_sq_d-0.15_a1.00,-0.15,0.9814622292408844,-1.9815604078555382,-2.04774747086705,-2.0477474708670482,8,2.1530091069219783,0.8588876564896388,0.1483952376064812,0.1271884420667427
H4_sq_d-0.08_a1.00,-0.08,1.0651719582033965,-1.8822587165363753,-1.9697708824266789,-1.9697708824266806,8,2.2582012272313543,0.855244349438286,0.31297912937887623,0.15514970661758856
H4_sq_d+0.00_a1.00,0.0,2.212721593449086,-1.761075054126617,-1.9151065495118047,-1.915106549511803,8,1.4082553711951205,1.4082553711951133,0.8531923909035202,0.1760399449357998
H4_sq_d+0.08_a1.00,0.08,1.0651719582033967,-1.8822587165363758,-1.969770882426682,-1.9697708824266784,8,2.2582012272313525,0.8552443494382852,0.31297912937887656,0.15514970661758748
H4_sq_d+0.15_a1.00,0.15,0.9814622292408879,-1.9815604078555382,-2.0477474708670482,-2.0477474708670464,8,2.153009106921977,0.8588876564896382,0.1483952376064831,0.12718844206674362
H4_sq_d+0.23_a1.00,0.23,1.0876966860464305,-2.0580508013390135,-2.1111656292169814,-2.1111656292169814,8,1.9807216732866983,0.8617217633408715,0.10490702298623517,0.1017895730060223
H4_sq_d+0.30_a1.00,0.3,1.2105508971504468,-2.1080220445555544,-2.1514346257935473,-2.15143462579355,8,1.821256873195455,0.8635425626224297,0.0881050904748623,0.08016011724860966
