iter,E_plus,E_minus,E_curr,best_E
0,-1.9448658048385412,-1.9299293035209442,-1.9681664191495696,-1.9681664191495696
1,-1.9433543006368965,-1.9322420727963268,-1.9629660333828924,-1.9681664191495696
2,-1.9444978365151164,-1.9431473833965074,-1.9629093933747057,-1.9681664191495696
3,-1.9415770696647245,-1.9336694593610129,-1.9641298229419812,-1.9681664191495696
4,-1.9349895772216577,-1.9354184213789782,-1.9638961693726278,-1.9681664191495696
5,-1.9445114043510658,-1.9419252862751566,-1.9632653992350824,-1.9681664191495696
6,-1.9553543346131772,-1.93475022499982,-1.961313975039278,-1.9681664191495696
7,-1.9473931884266866,-1.9302780907329475,-1.9630508112980434,-1.9681664191495696
8,-1.939682905977875,-1.9411921567764985,-1.9641940029825227,-1.9681664191495696
9,-1.9502629379797065,-1.9422099754825626,-1.9629663064245284,-1.9681664191495696
10,-1.9394920789788002,-1.9326633000676565,-1.9630492775272932,-1.9681664191495696
11,-1.9532356378925413,-1.9400794671135986,-1.9591897067860626,-1.9681664191495696
12,-1.9472111130872667,-1.9647784170873739,-1.9602600356466915,-1.9681664191495696
13,-1.9432396091603814,-1.9290473578273148,-1.9594448549598025,-1.9681664191495696
14,-1.9291598768483609,-1.9421430686396681,-1.9577945411103308,-1.9681664191495696
15,-1.9399860352814233,-1.956119168509998,-1.9590611639843971,-1.9681664191495696
16,-1.941364485453306,-1.9443418476261116,-1.9585236388321263,-1.9681664191495696
17,-1.9437037595124689,-1.9349173350696738,-1.9649614482103472,-1.9681664191495696
18,-1.943948302210193,-1.9543139443941717,-1.9585195510437443,-1.9681664191495696
19,-1.9488732224562544,-1.9314315106062652,-1.9622715318399109,-1.9681664191495696
