iter,E_plus,E_minus,E_curr,best_E
0,-1.7595218972593853,-1.7443042917348377,-1.7640937947669952,-1.7662232016904333
1,-1.7383535876719007,-1.756336089068013,-1.7639025011164315,-1.7662232016904333
2,-1.767051633360338,-1.7442405644838752,-1.772292042228,-1.772292042228
3,-1.7508594827088826,-1.7561501568961804,-1.7699589411213448,-1.772292042228
4,-1.756315541981029,-1.7766323254130894,-1.7678302156471457,-1.772292042228
5,-1.7589451545707533,-1.7565329018936267,-1.7682196684214846,-1.772292042228
6,-1.7586512165635717,-1.7683269588035013,-1.769802778223582,-1.772292042228
7,-1.7640778264200105,-1.7710383851979883,-1.77396643347529,-1.77396643347529
8,-1.7484545197244934,-1.7499634969004194,-1.7731807912172346,-1.77396643347529
9,-1.7665927405263404,-1.7544630120500286,-1.7712740813094743,-1.77396643347529
10,-1.7639472831388803,-1.7597941332060048,-1.7720291523712324,-1.77396643347529
11,-1.7504729650212474,-1.768504365278564,-1.772460832186785,-1.77396643347529
12,-1.751043434201866,-1.7716435044559606,-1.7743606519238961,-1.7743606519238961
13,-1.7475479517036294,-1.7760488024059795,-1.7668236579151113,-1.7743606519238961
14,-1.7547166144219128,-1.7657049880594031,-1.7694291898666124,-1.7743606519238961
15,-1.752971691468523,-1.7635942173280923,-1.769191819252872,-1.7743606519238961
16,-1.7627675009680919,-1.77144294222197,-1.7710892708528707,-1.7743606519238961
17,-1.757310698106652,-1.7689022335158755,-1.7692837305168476,-1.7743606519238961
18,-1.7590902176935799,-1.77064973797113,-1.775055267345154,-1.775055267345154
19,-1.7624264032730808,-1.7592574108932995,-1.7746116227198543,-1.775055267345154
