name,param,mr_score,E_FCI,E_noisy_raw,E_noisy_mit,raw_error,mit_error
H4_sq_d-0.30_a1.00,-0.3,1.2105508971504442,-2.151434625793552,-1.9523160709433451,-1.9960627246593465,0.19911855485020702,0.15537190113420563
H4_sq_d-0.22_a1.00,-0.22,1.0876966860464314,-2.1111656292169814,-1.8933206797249926,-1.9344087830124765,0.21784494949198874,0.17675684620450482
H4_sq_d-0.15_a1.00,-0.15,0.9814622292408844,-2.04774747086705,-1.8558604118002051,-1.8942182050939793,0.1918870590668449,0.1535292657730707
H4_sq_d-0.08_a1.00,-0.08,1.0651719582033965,-1.9697708824266789,-1.7323405710306583,-1.7692691617649166,0.23743031139602055,0.2005017206617623
H4_sq_d+0.00_a1.00,0.0,2.212721593449086,-1.9151065495118047,-1.7471809412178563,-1.7811146338881985,0.16792560829394843,0.13399191562360624
H4_sq_d+0.08_a1.00,0.08,1.0651719582033967,-1.969770882426682,-1.7323405710306585,-1.769269161764917,0.23743031139602344,0.20050172066176497
H4_sq_d+0.15_a1.00,0.15,0.981462229240888,-2.047747470867048,-1.7174350991611493,-1.7469887921440506,0.33031237170589844,0.3007586787229972
H4_sq_d+0.23_a1.00,0.23,1.0876966860464303,-2.1111656292169814,-1.8933206797249906,-1.934408783012475,0.21784494949199074,0.17675684620450638
H4_sq_d+0.30_a1.00,0.3,1.2105508971504468,-2.1514346257935477,-1.9523160709433445,-1.9960627246593456,0.19911855485020324,0.15537190113420207
