name,param,mr_score,E_FCI,E_ideal,E_noisy_raw,E_noisy_mit,raw_error,mit_error
H2_R0.70,0.7,0.8966291482484162,-1.136189454065923,,-1.0206583290915083,-1.0456817426802634,0.11553112497441465,0.0905077113856596
H2_R0.91,0.91,0.8419134965062792,-1.11897446374882,,-1.0267950406880515,-1.0460618371312698,0.09217942306076843,0.07291262661755016
H2_R1.12,1.12,0.820060260593652,-1.0750997514652243,,-1.0165333820685303,-1.0359248663300955,0.05856636939669402,0.03917488513512879
H2_R1.33,1.33,0.859393546477421,-1.0295964455378634,,-0.9877083518497229,-1.0080671058877957,0.041888093688140504,0.021529339650067758
H2_R1.54,1.54,0.9747961137314852,-0.992502528732896,,-0.9251073607458253,-0.9438774043820407,0.06739516798707068,0.04862512435085531
H2_R1.75,1.75,1.1493942620120905,-0.9667731407921704,,-0.9172389809759905,-0.939329952291828,0.04953415981617981,0.02744318850034233
H2_R1.95,1.95,1.3418196894430865,-0.9510330869516332,,-0.9051425599673163,-0.9244158237703074,0.04589052698431695,0.026617263181325845
H2_R2.16,2.16,1.5152000037930042,-0.9422585895180038,,-0.900276175648525,-0.923358930367364,0.04198241386947876,0.018899659150639736
H2_R2.37,2.37,1.653693888387621,-0.9376571397079378,,-0.9057319326367627,-0.924654596128158,0.03192520707117519,0.013002543579779813
H2_R2.58,2.58,1.7575254064055137,-0.935331421667398,,-0.8936143278045435,-0.9174719681226711,0.04171709386285449,0.017859453544726955
H2_R2.79,2.79,1.8329547787468703,-0.9341845556628534,,-0.9076276522122679,-0.923048423695376,0.02655690345058548,0.011136131967477425
H2_R3.00,3.0,1.886711043595916,-0.9336318445584986,,-0.9088666143680441,-0.9241582332905645,0.024765230190454512,0.009473611267934112
