name,param,mr_score,E_FCI,E_noisy_best,best_error,E_noisy_mit,mit_error,E_noisy_raw,raw_error,spsa_improvement_vs_mit
H4_sq_d+0.00_a1.00,0.0,2.212721593449086,-1.9151065495118047,-1.775055267345154,0.1400512821666506,-1.7811146338881985,0.1339919156236062,-1.7471809412178565,0.1679256082939484,-0.006059366543044398
H4_sq_d+0.15_a1.00,0.15,0.981462229240888,-2.047747470867048,-1.7451311046835176,0.3026163661835301,-1.7469887921440506,0.3007586787229972,-1.7174350991611491,0.3303123717058984,-0.0018576874605328864
H4_sq_d+0.30_a1.00,0.3,1.2105508971504468,-2.151434625793548,-1.9681664191495696,0.1832682066439781,-1.9960627246593456,0.155371901134202,-1.9523160709433445,0.1991185548502032,-0.02789630550977612
