name,param,mr_score,E_FCI,E_ideal,ideal_error
H4_sq_d-0.30_a1.00,-0.3,1.2105508971504442,-2.151434625793552,-2.0888313066191357,0.06260331917441642
H4_sq_d-0.22_a1.00,-0.22,1.0876966860464314,-2.1111656292169814,-2.0516043546539686,0.059561274563012745
H4_sq_d-0.15_a1.00,-0.15,0.9814622292408844,-2.04774747086705,-1.9601157599221222,0.08763171094492783
H4_sq_d-0.08_a1.00,-0.08,1.0651719582033965,-1.9697708824266789,-1.8361719315846554,0.13359895084202345
H4_sq_d+0.00_a1.00,0.0,2.212721593449086,-1.9151065495118047,-1.8454205926495777,0.069685956862227
H4_sq_d+0.08_a1.00,0.08,1.0651719582033967,-1.969770882426682,-1.8361719315846359,0.1335989508420461
H4_sq_d+0.15_a1.00,0.15,0.981462229240888,-2.047747470867048,-1.8484335231176112,0.19931394774943656
H4_sq_d+0.23_a1.00,0.23,1.0876966860464303,-2.1111656292169814,-2.0516043546539975,0.05956127456298388
H4_sq_d+0.30_a1.00,0.3,1.2105508971504468,-2.1514346257935477,-2.088831306619157,0.06260331917439066
